alpha,beta,gamma,Eff_Global__Null_Conn,Eff_Global__Null_Strength,Eff_Global__Real,Eff_Local__Null_Conn,Eff_Local__Null_Strength,Eff_Local__Real,ratio_global_real_vs_nullconn,ratio_local_real_vs_nullconn
0.01,0.01,0.0,5.609332296159276e-06,6.0492975381648e-06,6.13472966388949e-06,5.92427636187034e-07,6.682337669194163e-07,6.279786516529806e-07,1.0936648677579601,1.0600090429520794
0.01,0.01,1.0,6.566425059260532e-08,1.0837413071911446e-07,1.0762547018482245e-07,6.9351064808918604e-09,1.1971514568453712e-08,1.1017029494879524e-08,1.6390268557628604,1.588588369224682
0.01,0.01,10.0,6.636343086072506e-09,1.1015015252290937e-08,1.0935205973986205e-08,7.00895015633152e-10,1.2167702263403978e-09,1.1193771004308064e-09,1.6477758657378028,1.5970681421091568
0.01,0.1,0.0,9.346579349333924e-07,1.00236013305e-06,1.0221536523515696e-06,9.871356550140125e-08,1.1072539965046126e-07,1.0463226703602485e-07,1.0936125550834943,1.059958340118305
0.01,0.1,1.0,6.203234391163436e-08,9.940722194739409e-08,9.894327570558119e-08,6.5515239480237755e-09,1.0980987786071756e-08,1.0128280832561761e-08,1.5950271981746618,1.545942732242762
0.01,0.1,10.0,6.5973055028417484e-09,1.0914944806594545e-08,1.0838572582591714e-08,6.967720751591694e-10,1.205715975749627e-09,1.109485269794851e-09,1.6428786840207819,1.592321663495774
0.01,1.0,0.0,1.0013750742997229e-07,1.0728445157512297e-07,1.0951070024560738e-07,1.057598724557992e-08,1.1851143501477914e-08,1.1210010163383307e-08,1.0936032167785874,1.0599492891851177
0.01,1.0,1.0,3.994091856603768e-08,5.439808215000846e-08,5.476450571835271e-08,4.21834591425757e-09,6.009067188207748e-09,5.6059422898268064e-09,1.3711378627360797,1.3289432407331283
0.01,1.0,10.0,6.230786127785701e-09,1.0005916119194197e-08,9.958545261426921e-09,6.580622616703383e-10,1.1053004051503954e-09,1.0194016962975844e-09,1.5982807076329537,1.5490961200389608
0.01,10.0,0.0,1.0085744139966276e-08,1.0804420134822142e-08,1.1029792071950946e-08,1.0652022815832463e-09,1.19350690233407e-09,1.1290593608594358e-09,1.0936022091065882,1.0599483125226474
0.01,10.0,1.0,8.756524445551547e-09,9.840902287567956e-09,1.0020841847242331e-08,9.248172161317751e-10,1.0870722036764666e-09,1.025778656344124e-09,1.1443857559642945,1.1091690751980585
0.01,10.0,10.0,4.00549599009647e-09,5.459273050376126e-09,5.496067170335426e-09,4.2303903493010573e-10,6.030568957930975e-10,5.626022726538884e-10,1.3721314873175186,1.3299062880730173
0.01,100.0,0.0,1.0093000455877043e-09,1.081207685750526e-09,1.103772656996961e-09,1.0659686548083419e-10,1.1943526998185742e-10,1.1298715719331579e-10,1.0936021075420108,1.059948214083561
0.01,100.0,1.0,9.941975047734124e-10,1.0707169204675892e-09,1.0927622462300023e-09,1.0500181600210117e-10,1.1827641086496717e-10,1.1186008179042079e-10,1.0991400008382175,1.0653156873799439
0.01,100.0,10.0,8.761993630879243e-10,9.847253876516848e-10,1.002739069121841e-09,9.253948421957143e-11,1.0877738299698448e-10,1.0264490256081835e-10,1.1444188518785978,1.1092011526373917
0.1,0.01,0.0,5.516058950129752e-06,5.93811562357614e-06,6.032713623794716e-06,5.825766049073642e-07,6.559520913810308e-07,6.175358287715113e-07,1.0936637331718166,1.0600079432810487
0.1,0.01,1.0,6.565125519668054e-08,1.0833779061608423e-07,1.0759355027744573e-07,6.9337339767714844e-09,1.1967500270300096e-08,1.1013762028912226e-08,1.6388650903187283,1.5884315818589427
0.1,0.01,10.0,6.6362103263116e-09,1.1014639729800684e-08,1.0934876363388153e-08,7.008809942582036e-10,1.2167287443655666e-09,1.119343360000457e-09,1.647759161585487,1.5970519520009876
0.1,0.1,0.0,9.320318971983316e-07,9.99259982153336e-07,1.0192817428362184e-06,9.84362174596414e-08,1.103829424480131e-07,1.0433828539968065e-07,1.0936125103659629,1.059958296776886
0.1,0.1,1.0,6.202074619033987e-08,9.937664579572489e-08,9.891629741310714e-08,6.550299058812567e-09,1.0977610201008549e-08,1.0125519212627392e-08,1.5948904759954983,1.5458102174747022
0.1,0.1,10.0,6.597174300361957e-09,1.0914576076173757e-08,1.0838248771643804e-08,6.967582182559123e-10,1.2056752440586324e-09,1.1094521230428995e-09,1.6428622737842713,1.5923057582586113
0.1,1.0,0.0,1.0010728843861553e-07,1.0724883846230053e-07,1.0947765246075113e-07,1.057279567755146e-08,1.1847209510070993e-08,1.1206627242780252e-08,1.0936032147937098,1.0599492872613216
0.1,1.0,1.0,3.9936110158163157e-08,5.4388924698788815e-08,5.47562397619334e-08,4.2178380759694244e-09,6.00805561321325e-09,5.605096149173309e-09,1.3710959716676594,1.3289026387967817
0.1,1.0,10.0,6.23066909837425e-09,1.0005606248276313e-08,9.95827189812978e-09,6.58049901650655e-10,1.1052661753560418e-09,1.019373713595142e-09,1.5982668539929625,1.5490826927230608
0.1,10.0,0.0,1.0085437506057817e-08,1.0804058833994181e-08,1.1029456734723474e-08,1.0651698965520212e-09,1.1934669913507308e-09,1.1290250342254203e-09,1.0936022089372555,1.0599483123585258
0.1,10.0,1.0,8.756293308507672e-09,9.840602552771128e-09,1.0020565053197407e-08,9.24792804675062e-10,1.087039093565566e-09,1.0257503224548347e-09,1.1443843530756743,1.1091677154811401
0.1,10.0,10.0,4.005447625802954e-09,5.459180805373542e-09,5.495983906232648e-09,4.2303392695244103e-10,6.030467059776406e-10,5.62593749364052e-10,1.3721272675812088,1.3299021981924888
0.1,100.0,0.0,1.0092969747507811e-09,1.081204067510715e-09,1.103769298706438e-09,1.0659654115548431e-10,1.1943487029412457e-10,1.1298681342352153e-10,1.0936021075253737,1.059948214067436
0.1,100.0,1.0,9.941945251489883e-10,1.0707133721012954e-09,1.092758954604801e-09,1.0500150131012698e-10,1.1827601889579058e-10,1.1185974484479016e-10,1.0991399841404699,1.0653156711960434
0.1,100.0,10.0,8.761970487743178e-10,9.8472238635106e-10,1.0027362974934912e-09,9.253923979416268e-11,1.0877705145924647e-10,1.0264461884441529e-10,1.1444187114030855,1.1092010164847934
1.0,0.01,0.0,4.729608164814589e-06,5.016176918753197e-06,5.172555676784612e-06,4.995158848211765e-07,5.541104197314095e-07,5.29486174203761e-07,1.0936541668008108,1.0599986713001404
1.0,0.01,1.0,6.552158358501632e-08,1.0797572552138185e-07,1.0727538948425616e-07,6.920038755607391e-09,1.192750486247355e-08,1.0981193652331252e-08,1.637252697732236,1.5868688081310323
1.0,0.01,10.0,6.634883020787977e-09,1.1010885912667351e-08,1.0931581349947148e-08,7.007408113572201e-10,1.21631408012604e-09,1.119006067534248e-09,1.6475921754305296,1.5968901045836286
1.0,0.1,0.0,9.065609398751696e-07,9.692815447533625e-07,9.914259920516942e-07,9.574611135758117e-08,1.0707138370524048e-07,1.0148684486735957e-07,1.0936120766334916,1.0599578763918525
1.0,0.1,1.0,6.190500704955923e-08,9.90719156303378e-08,9.864732144977117e-08,6.538075310607465e-09,1.0943948278276878e-08,1.0097985617499796e-08,1.5935273437703865,1.5444890335106238
1.0,0.1,10.0,6.595862562525661e-09,1.0910890141719316e-08,1.083501172599886e-08,6.966196795306911e-10,1.2052680784580696e-09,1.109120764422255e-09,1.6426982253326337,1.5921467581413489
1.0,1.0,0.0,9.980609863377881e-08,1.0689400342812408e-07,1.0914826834744616e-07,1.0540985623394882e-08,1.1808012768626753e-08,1.1172909996433324e-08,1.0936031950106258,1.0599492680870313
1.0,1.0,1.0,3.9888089679065855e-08,5.4297519475242377e-08,5.46737172306e-08,4.2127664101421635e-09,5.997958563686227e-09,5.596648769941137e-09,1.3706777554527503,1.3284972925314111
1.0,1.0,10.0,6.2294990460051934e-09,1.0002508594365996e-08,9.955539090356054e-09,6.57926326985683e-10,1.1049239939824122e-09,1.0190939710416807e-09,1.5981283594128275,1.5489484600968961
1.0,10.0,0.0,1.00823721921366e-08,1.0800447154283e-08,1.1026104483581096e-08,1.064846154512035e-09,1.1930680282772363e-09,1.1286818826494371e-09,1.0936022072444944,1.0599483107178564
1.0,10.0,1.0,8.753982609011585e-09,9.837606208724542e-09,1.0017797953527492e-08,9.245487609693e-10,1.086708103354454e-09,1.0254670696279122e-09,1.1443703284508357,1.1091541224421837
1.0,10.0,10.0,4.004964047097157e-09,5.458258526771133e-09,5.495151403941284e-09,4.229828539593537e-10,6.029448267593103e-10,5.62508530667374e-10,1.3720850772491282,1.3298613062018536
1.0,100.0,0.0,1.0092662674092622e-09,1.0811678864444814e-09,1.1037357169251316e-09,1.0659329801052711e-10,1.194308735639211e-10,1.1298337584062868e-10,1.0936021073590103,1.0599482139061922
1.0,100.0,1.0,9.94164729887016e-10,1.0706778897318415e-09,1.0927260394434143e-09,1.049983544941268e-10,1.1827209934690908e-10,1.1185637550012476e-10,1.0991398171685285,1.065315509362402
1.0,100.0,10.0,8.761739063106456e-10,9.846923743510075e-10,1.002708582052672e-09,9.253679561108971e-11,1.0877373619301576e-10,1.0264178176664507e-10,1.1444173066906695,1.1091996550002037
10.0,0.01,0.0,1.949752789376186e-06,1.9651415656535845e-06,2.1322893358061317e-06,2.059224476592519e-07,2.1707875049323449e-07,2.1827077237248653e-07,1.09362035403901,1.059965899073169
10.0,0.01,1.0,6.425249519061274e-08,1.044838725855385e-07,1.0419429950345645e-07,6.786004436028266e-09,1.1541778416365377e-08,1.0665799358243094e-08,1.6216381822114698,1.5717348048899311
10.0,0.01,10.0,6.621639109378987e-09,1.09734879875146e-08,1.0898740105160196e-08,6.99342060362334e-10,1.2121829299813947e-09,1.1156442893060548e-09,1.6459278322376496,1.5952769789479437
10.0,0.1,0.0,7.11986337185671e-07,7.455975267696478e-07,7.786344977168545e-07,7.519618387114974e-08,8.23621983834892e-08,7.970454588812573e-08,1.0936087633291243,1.059954665049242
10.0,0.1,1.0,6.077093874708586e-08,9.612434311560858e-08,9.603588674904935e-08,6.418301090034197e-09,1.061834559922876e-08,9.830667360284311e-09,1.5802929612249004,1.5316619183772093
10.0,0.1,10.0,6.5827738171165705e-09,1.0874167260784546e-08,1.0802747301328409e-08,6.952373163377186e-10,1.201211496862545e-09,1.1058180321078762e-09,1.641063114342321,1.5905619651329443
10.0,1.0,0.0,9.689096902569008e-08,1.0347065507704346e-07,1.0596025474199615e-07,1.0233105246245302e-08,1.1429853660120748e-08,1.0846570516930886e-08,1.0936030035358755,1.0599490825046165
10.0,1.0,1.0,3.941416097500778e-08,5.3400085524886954e-08,5.386196936876069e-08,4.162712598557752e-09,5.898823802100453e-09,5.5135545904599085e-09,1.3665638957255528,1.3245100303994517
10.0,1.0,10.0,6.217822646563794e-09,9.971637220595964e-09,9.928293281708084e-09,6.566931282099605e-10,1.1015137973018595e-09,1.0163049669428268e-09,1.596747582884957,1.5476101748058644
10.0,10.0,0.0,1.0051821224452364e-08,1.0764462722677628e-08,1.0992693708301976e-08,1.061619524921773e-09,1.1890930192567003e-09,1.1252618047063186e-09,1.0936021903733044,1.0599482943658511
10.0,10.0,1.0,8.730942512303156e-09,9.807742822150393e-09,9.990210777755712e-09,9.22115389346827e-10,1.0834092536652934e-09,1.022643121647604e-09,1.1442305070361036,1.10901860381268
10.0,10.0,10.0,4.000134674378888e-09,5.449052850998442e-09,5.486840231378006e-09,4.224728014766885e-10,6.019279246545923e-10,5.616577614850473e-10,1.3716638758493707,1.3294530666160265
10.0,100.0,0.0,1.0089592967308763e-09,1.0808062089202683e-09,1.1034000114663734e-09,1.0656087741146591e-10,1.1939092096894784e-10,1.1294901151279459e-10,1.0936021056959324,1.059948212294293
10.0,100.0,1.0,9.9386687546144e-10,1.0703231953379715e-09,1.0923969968553996e-09,1.0496689670486503e-10,1.1823291814125247e-10,1.1182269321384995e-10,1.0991381480021791,1.0653138915620353
10.0,100.0,10.0,8.759425488934392e-10,9.843923549362206e-10,1.0024315118866436e-09,9.251236087972539e-11,1.0874059464188079e-10,1.0261341961235163e-10,1.1444032638361903,1.1091860442925952
100.0,0.01,0.0,2.8349486008187014e-07,2.774686308773388e-07,3.100300037965242e-07,2.994120885733087e-08,3.0650485819777835e-08,3.173607223511664e-08,1.0936000875183098,1.0599462562229285
100.0,0.01,1.0,5.3826779376495175e-08,7.895154327370182e-08,8.094564723667755e-08,5.6848961669488084e-09,8.721357617647042e-09,8.285962249987461e-09,1.5038173967366235,1.4575397697078245
100.0,0.01,10.0,6.492051068498028e-09,1.061302198593882e-08,1.0580864093778796e-08,6.856556654968022e-10,1.1723641654786254e-09,1.0831050642779123e-09,1.6298183705179536,1.5796632607026329
100.0,0.1,0.0,2.262936670340971e-07,2.2541063147060485e-07,2.474748657910305e-07,2.3899925190186877e-08,2.4899915142375843e-08,2.5332645617985155e-08,1.0936004928221958,1.0599466490542213
100.0,0.1,1.0,5.136173046811183e-08,7.408321734698434e-08,7.59342441313477e-08,5.4245509028825504e-09,8.183579511664041e-09,7.77297238125715e-09,1.4784206731214367,1.432924590518023
100.0,0.1,10.0,6.454687816648222e-09,1.052009159327726e-08,1.049036589488398e-08,6.81709558936348e-10,1.162098638620713e-09,1.073841259671573e-09,1.6252321092627833,1.575218134460454
100.0,1.0,0.0,7.498840708357338e-08,7.837163970263185e-08,8.200743933669245e-08,7.919873953691503e-09,8.657298750431248e-09,8.394652087655123e-09,1.0936015649098463,1.0599476881500522
100.0,1.0,1.0,3.5228501049315046e-08,4.5825936373053694e-08,4.689883737575088e-08,3.7206456136228783e-09,5.062147776990518e-09,4.800776932792157e-09,1.3312754156101894,1.290307498035947
100.0,1.0,10.0,6.1034218087563244e-09,9.673090520871677e-09,9.66381884523974e-09,6.446107243975672e-10,1.068534929177174e-09,9.892321684481052e-10,1.5833444169589366,1.5346194703363185
100.0,10.0,0.0,9.756195158167337e-09,1.0417381220691464e-08,1.0669394801944936e-08,1.0303970830342731e-09,1.1507527693289995e-09,1.0921674676420421e-09,1.0936020271194677,1.0599481361358962
100.0,10.0,1.0,8.507040941165409e-09,9.51878714118191e-09,9.722471761006412e-09,8.984681045142772e-10,1.0514898544378401e-09,9.95236145962465e-10,1.142873512452439,1.107703368613738
100.0,10.0,10.0,3.952473897932768e-09,5.358675617916478e-09,5.405090634898145e-09,4.1743912551704763e-10,5.919444317737914e-10,5.532895033574265e-10,1.3675208931108,1.3254375776877938
100.0,100.0,0.0,1.0058998290474536e-09,1.077202698218072e-09,1.1000541544923751e-09,1.0623775281980611e-10,1.189928602824845e-10,1.1260651447278272e-10,1.0936020891206253,1.0599481962290647
100.0,100.0,1.0,9.9089811806252e-10,1.066789134077091e-09,1.0891174372287241e-09,1.0465335244765298e-10,1.1784252916567586e-10,1.1148698266991216e-10,1.0991215114609867,1.0652977669843622
100.0,100.0,10.0,8.736356770229182e-10,9.81402185447579e-10,9.996692086753318e-10,9.226872142727668e-11,1.0841028650138736e-10,1.023306577726072e-10,1.1442632609532353,1.1090503497792696
